qa_reason,href,title,topicLv1Label,topicLv2Label,topicLv3Label,libraryKindLabel,review_status,review_note,suggest_topicLv3Label
missing-lv3-top-node,thu-vien/bo-luat-lao-dong-so-45-2019-qh14-cua-quoc-hoi.html,Bộ luật lao động số 45/2019/QH14 của Quốc hội,Lao động - Bảo hiểm,Luật - Bộ luật,,Văn bản,pass,ok,
missing-lv3-top-node,thu-vien/luat-106-2016-qh13-bo-sung-luat-thue-gtgt-quan-ly-thue-ttdb.html,"Luật 106/2016/QH13 sửa đổi, bổ sung Luật thuế GTGT, TTĐB và Quản lý thuế",Lao động - Bảo hiểm,Luật - Bộ luật,,Văn bản,pass,ok,
missing-lv3-top-node,thu-vien/bao-cao-thuc-tap-ke-toan-ban-hang-va-xac-dinh-ket-qua-kinh-doanh.html,Mẫu báo cáo: Hoàn thiện kế toán bán hàng và xác định kết quả kinh doanh tại công ty TNHH Phú Thái,Học liệu - Tham khảo,Báo cáo thực tập,,Biểu mẫu,pass,ok,
missing-lv3-top-node,thu-vien/bao-cao-thuc-tap-ke-toan-chi-phi-va-tinh-gia-thanh-san-pham.html,Mẫu báo cáo: Công tác kế toán tập hợp chi phí sản xuất và tính giá thành sản phẩm tại Công ty TNHH Thế Anh,Học liệu - Tham khảo,Báo cáo thực tập,,Biểu mẫu,pass,ok,
missing-lv3-top-node,thu-vien/cac-hinh-thuc-khuyen-mai.html,"Các hình thức khuyến mại theo nghị định 81, Luật thương mại",Doanh nghiệp - Thủ tục,DN - Thủ tục,,Văn bản,pass,ok,
missing-lv3-top-node,thu-vien/cach-xac-dinh-doanh-nghiep-vua-va-nho-sieu-nho.html,Cách xác định doanh nghiệp vừa và nhỏ 2026 mới nhất,Doanh nghiệp - Thủ tục,DN - Thủ tục,,Hướng dẫn,pass,ok,
missing-lv3-top-node,thu-vien/quyet-dinh-1018-qd-bhxh-quy-dinh-thu-chi-bhxh-bhyt.html,"Quyết định 1018/QĐ-BHXH Quy định thu, chi BHXH, BHYT",Lao động - Bảo hiểm,Nghị quyết - Quyết định,,Văn bản,pass,ok,
missing-lv3-top-node,thu-vien/quyet-dinh-1040-qd-bhxh-mau-bao-cao-su-dung-lao-dong-tham-gia-bhxh.html,Quyết định 1040/QĐ-BHXH Mẫu Báo cáo sử dụng lao động tham gia BHXH,Lao động - Bảo hiểm,Nghị quyết - Quyết định,,Biểu mẫu,pass,ok,
missing-lv3-top-node,thu-vien/bai-bo-le-phi-mon-bai-tu-nam-2026.html,Bãi bỏ lệ phí môn bài từ năm 2026 theo Nghị quyết 198/2025/QH15,Thuế - Hóa đơn,Lệ phí môn bài,,Văn bản,pass,ok,
missing-lv3-top-node,thu-vien/bao-cao-tinh-hinh-su-dung-bien-lai-dien-tu-thu-thue-phi-le-phi.html,"Báo cáo tình hình sử dụng biên lai điện tử thu thuế, phí, lệ phí",Thuế - Hóa đơn,Lệ phí môn bài,,Hướng dẫn,pass,ok,
missing-lv3-top-node,thu-vien/cach-tra-cuu-ma-so-thue-ca-nhan-cong-ty-qua-mang.html,"Cách tra cứu mã số thuế Cá nhân, Công ty online",Thuế - Hóa đơn,Mã số thuế - Đăng ký thuế,,Hướng dẫn,pass,ok,
missing-lv3-top-node,thu-vien/cach-tra-cuu-ma-so-thue-ca-nhan.html,"Cách tra cứu mã số thuế cá nhân bằng CCCD, CMND, MST",Thuế - Hóa đơn,Mã số thuế - Đăng ký thuế,,Hướng dẫn,pass,ok,
missing-lv3-top-node,thu-vien/nghi-dinh-115-2015-nd-cp-quy-dinh-luat-bao-hiem-xa-hoi.html,Nghi định 115/2015/NĐ-CP Quy định Luật Bảo hiểm xã hội,Lao động - Bảo hiểm,Nghị định,,Hướng dẫn,pass,ok,
